trial_id,order_id,target,pics,position,focus,prompt,sentence,category,ikemap,ikemas
140,40,足,foot.jpeg,phrase-medial,out-of-focus,カニさんは大きい足を見ましたか？,いいえ、マサイさんが大きい足を見ましたよ。,filler,カニがどぅ　がばーはっじゅ　みーたいな？,あらん。マサイがどぅ　がばーはっじゅ　みーたいよ。
98,41,縄,nawa.jpeg,phrase-medial,out-of-focus,カニさんは大きい縄を見ましたか？,いいえ、マサイさんが大きい縄を見ましたよ。,comparison,カニがどぅ　がばーなーゆ　みーたいな？,あらん。マサイがどぅ　がばーなーゆ　みーたいよ。
5,42,雲,cloud.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,雲が池間の方に見えますよ。,experiment,なうぬどぅ　池間ん　みーらいゆ？,ん°むぬどぅ　池間ん　みーらいゆーい。
54,43,みの,mino.jpeg,utt-initial,out-of-focus,みのが西村の方に見えますか？,いいえ、みのが池間の方に見えますよ。,experiment,んぬぬどぅ　西村ん　みーらいゆーな？,あらん。んぬぬどぅ　池間ん　みーらいゆーい。
106,44,葉,leaf.jpeg,utt-medial,out-of-focus,カニさんは葉を見ましたか？,いいえ、マサイさんが葉を見ましたよ。,filler,カニがどぅ　はーゆ　みーたいな？,あらん。マサイがどぅ　はーゆ　みーたいよ。
23,45,角,horn.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,角が池間の方に見えますよ。,experiment,なうぬどぅ　池間ん　みーらいゆ？,ん°ぬぬどぅ　池間ん　みーらいゆーい。
145,46,しっぽ,tail.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きいしっぽを見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーじゅーゆどぅ　みーたいよ。
74,47,波,nami.jpeg,phrase-medial,out-of-focus,カニさんは大きい波を見ましたか？,いいえ、マサイさんが大きい波を見ましたよ。,comparison,カニがどぅ　がばーなんぬ　みーたいな？,あらん。マサイがどぅ　がばーなんぬ　みーたいよ。
132,48,手,hand.jpeg,utt-initial,out-of-focus,手が西村の方に見えますか？,いいえ、手が池間の方に見えますよ。,filler,てぃーぬどぅ　西村ん　みーらいゆーな？,あらん。てぃーぬどぅ　池間ん　みーらいゆーい。
118,49,湖,lake.jpeg,utt-medial,out-of-focus,カニさんは湖を見ましたか？,いいえ、マサイさんが湖を見ましたよ。,filler,カニがどぅ　ほぅらなう　みーたいな？,あらん。マサイがどぅ　ほぅらなう　みーたいよ。
100,50,縄,nawa.jpeg,utt-medial,out-of-focus,カニさんは縄を見ましたか？,いいえ、マサイさんが縄を見ましたよ。,comparison,カニがどぅ　なーゆ　みーたいな？,あらん。マサイがどぅ　なーゆ　みーたいよ。
34,51,草,grass.jpeg,utt-medial,out-of-focus,カニさんは草を見ましたか？,いいえ、マサイさんが草を見ましたよ。,experiment,カニがどぅ　っさう　みーたいな？,あらん。マサイがどぅ　っさう　みーたいよ。
117,52,湖,lake.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは湖を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　ほぅらなうどぅ　みーたいよ。
116,53,湖,lake.jpeg,phrase-medial,out-of-focus,カニさんは大きい湖を見ましたか？,いいえ、マサイさんが大きい湖を見ましたよ。,filler,カニがどぅ　がばーほぅらなう　みーたいな？,あらん。マサイがどぅ　がばーほぅらなう　みーたいよ。
138,54,目,eye.jpeg,utt-initial,out-of-focus,目が西村の方に見えますか？,いいえ、目が池間の方に見えますよ。,filler,みーぬどぅ　西村ん　みーらいゆーな？,あらん。みーぬどぅ　池間ん　みーらいゆーい。
105,55,葉,leaf.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは葉を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　はーゆどぅ　みーたいよ。
146,56,しっぽ,tail.jpeg,phrase-medial,out-of-focus,カニさんは大きいしっぽを見ましたか？,いいえ、マサイさんが大きいしっぽを見ましたよ。,filler,カニがどぅ　がばーじゅーゆ　みーたいな？,あらん。マサイがどぅ　がばーじゅーゆ　みーたいよ。
119,57,湖,lake.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,湖が池間の方に見えますよ。,filler,なうぬどぅ　池間ん　みーらいゆ？,ほぅらなぬどぅ　池間ん　みーらいゆーい。
64,58,苗,nae.jpeg,utt-medial,out-of-focus,カニさんは苗を見ましたか？,いいえ、マサイさんが苗を見ましたよ。,comparison,カニがどぅ　ないゆ　みーたいな？,あらん。マサイがどぅ　ないゆ　みーたいよ。
129,59,手,hand.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは手を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　てぃーゆどぅ　みーたいよ。
87,60,猫,cat.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは猫を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　まゆーどぅ　みーたいよ。
62,61,苗,nae.jpeg,phrase-medial,out-of-focus,カニさんは大きい苗を見ましたか？,いいえ、マサイさんが大きい苗を見ましたよ。,comparison,カニがどぅ　がばーないゆ　みーたいな？,あらん。マサイがどぅ　がばーないゆ　みーたいよ。
52,62,みの,mino.jpeg,utt-medial,out-of-focus,カニさんはみのを見ましたか？,いいえ、マサイさんがみのを見ましたよ。,experiment,カニがどぅ　んぬー　みーたいな？,あらん。マサイがどぅ　んぬー　みーたいよ。
152,63,月,moon.jpeg,phrase-medial,out-of-focus,カニさんは大きい月を見ましたか？,いいえ、マサイさんが大きい月を見ましたよ。,filler,カニがどぅ　がばーつっちゅー　みーたいな？,あらん。マサイがどぅ　がばーつっちゅー　みーたいよ。
22,64,角,horn.jpeg,utt-medial,out-of-focus,カニさんは角を見ましたか？,いいえ、マサイさんが角を見ましたよ。,experiment,カニがどぅ　ん°ぬう　みーたいな？,あらん。マサイがどぅ　ん°ぬう　みーたいよ。
36,65,草,grass.jpeg,utt-initial,out-of-focus,草が西村の方に見えますか？,いいえ、草が池間の方に見えますよ。,experiment,っさぬどぅ　西村ん　みーらいゆーな？,あらん。っさぬどぅ　池間ん　みーらいゆーい。
120,66,湖,lake.jpeg,utt-initial,out-of-focus,湖が西村の方に見えますか？,いいえ、湖が池間の方に見えますよ。,filler,ほぅらなぬどぅ　西村ん　みーらいゆーな？,あらん。ほぅらなぬどぅ　池間ん　みーらいゆーい。
123,67,砂,sand.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは砂を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　んなぐーどぅ　みーたいよ。
46,68,巻貝,makigai.jpeg,utt-medial,out-of-focus,カニさんは巻貝を見ましたか？,いいえ、マサイさんが巻貝を見ましたよ。,experiment,カニがどぅ　んなう　みーたいな？,あらん。マサイがどぅ　んなう　みーたいよ。
142,69,足,foot.jpeg,utt-medial,out-of-focus,カニさんは足を見ましたか？,いいえ、マサイさんが足を見ましたよ。,filler,カニがどぅ　はっじゅ　みーたいな？,あらん。マサイがどぅ　はっじゅ　みーたいよ。
126,70,砂,sand.jpeg,utt-initial,out-of-focus,砂が西村の方に見えますか？,いいえ、砂が池間の方に見えますよ。,filler,んなぐぬどぅ　西村ん　みーらいゆーな？,あらん。んなぐぬどぅ　池間ん　みーらいゆーい。
71,71,凪,nagi.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,凪が池間の方に見えますよ。,comparison,なうぬどぅ　池間ん　みーらいゆ？,なぎぬどぅ　池間ん　みーらいゆーい。
75,72,波,nami.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは波を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　なんぬどぅ　みーたいよ。
29,73,舌,tongue.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,舌が池間の方に見えますよ。,experiment,なうぬどぅ　池間ん　みーらいゆ？,ったぬどぅ　池間ん　みーらいゆーい。
121,74,砂,sand.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい砂を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーんなぐーどぅ　みーたいよ。
60,75,魚,fish.jpeg,utt-initial,out-of-focus,魚が西村の方に見えますか？,いいえ、魚が池間の方に見えますよ。,experiment,っずぬどぅ　西村ん　みーらいゆーな？,あらん。っずぬどぅ　池間ん　みーらいゆーい。
21,76,角,horn.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは角を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　ん°ぬうどぅ　みーたいよ。
